University_link,University_Name,Location,T.H.E.R (2018),Top.U.R(2018),U.S. News & World Report.R(2018)
https://www.mastersportal.com/universities/11970/central-south-university.html,Central South University,"Changsha, China",-,-,80
https://www.mastersportal.com/universities/13977/north-dakota-state-university.html,North Dakota State University,"Fargo, United States",-,-,-
https://www.mastersportal.com/universities/13952/northeastern-university-china.html,Northeastern University China,"Shenyang, China",-,451,138
https://www.mastersportal.com/universities/13996/northwestern-polytechnical-university.html,Northwestern Polytechnical University,"Yuxia, China",-,-,139
https://www.mastersportal.com/universities/1471/universidad-politcnica-de-madrid.html,Universidad Politécnica de Madrid,"Madrid, Spain",-,101,135
https://www.mastersportal.com/universities/13437/shenzhen-university.html,Shenzhen University,"Shenzhen, China",-,-,185
https://www.mastersportal.com/universities/12392/tongji-university.html,Tongji University,"Shanghai, China",-,401,119
https://www.mastersportal.com/universities/13134/university-of-chile.html,University of Chile,"Lo Prado, Chile",-,101,185
https://www.mastersportal.com/universities/12904/university-of-electronic-science-and-technology-of-china.html,University of Electronic Science and Technology of China,"Chengdu, China",-,451,41
https://www.mastersportal.com/universities/486/university-of-porto.html,University of Porto,"Porto, Portugal",-,201,-
https://www.mastersportal.com/universities/12185/university-of-tennessee-knoxville.html,University of Tennessee Knoxville,"Knoxville, United States",-,301,-
https://www.mastersportal.com/universities/11966/beijing-jiaotong-university.html,Beijing Jiaotong University,"Beijing, China",-,301,78
https://www.mastersportal.com/universities/11922/carleton-university.html,Carleton University,"Ottawa, Canada",-,351,175
https://www.mastersportal.com/universities/245/de-montfort-university.html,De Montfort University,"Leicester, United Kingdom",-,-,-
https://www.mastersportal.com/universities/11964/illinois-institute-of-technology.html,Illinois Institute of Technology,"Chicago, United States",-,201,-
https://www.mastersportal.com/universities/56/leiden-university.html,Leiden University,"Leiden, Netherlands",-,251,-
https://www.mastersportal.com/universities/17227/nanjing-university-of-science-and-technology.html,Nanjing University of Science and Technology,"Nanjing, China",-,451,-
https://www.mastersportal.com/universities/28/national-technical-university-of-athens.html,National Technical University of Athens,"Athens, Greece",-,101,129
https://www.mastersportal.com/universities/11756/northwestern-university.html,Northwestern University,"Evanston, United States",-,101,152
https://www.mastersportal.com/universities/13116/south-china-university-of-technology.html,South China University of Technology,"Guangzhou, China",-,401,152
https://www.mastersportal.com/universities/11999/swinburne-university-of-technology.html,Swinburne University of Technology,"Hawthorn East, Australia",-,201,-
